german word	german sentence	english translation
oben	Ich wohne oben im 4. Stock.	I live on the 4th floor upstairs.
das Obst (Sg.)	Obst kaufe ich immer auf dem Markt. Heute kaufe ich Äpfel und Orangen.	I always buy fruit at the market. Today I’m buying apples and oranges.
oder	Wann können Sie kommen – heute oder morgen?	When can you come – today or tomorrow?
oder(2)	Entweder fahren wir mit dem Bus oder wir gehen zu Fuß.	Either we take the bus or we walk.
offen	Ist das Fenster im Bad noch offen?	Is the window in the bathroom still open?
offen(2)	Ich glaube, der Supermarkt ist jetzt noch offen.	I think the supermarket is still open now.
öffnen, öffnet, hat geöffnet	Ich öffne die Tür.	I open the door.
öffnen, öffnet, hat geöffnet(2)	Der Laden ist samstags bis 16.00 Uhr geöffnet.	The store is open until 4 PM on Saturdays.
oft	Ich gehe nicht oft ins Kino.	I don’t go to the cinema often.
ohne	Bitte einen Kaffee ohne Milch und Zucker.	A coffee without milk and sugar, please.
ohne(2)	Schaffst du das auch ohne mich oder soll ich dir helfen?	Could you manage that without me or should I help you?
das Ohr, -en	Ich habe Ohrenschmerzen.	I have an earache.
das Öl, -e	Machen wir den Salat mit Öl?	Shall we make the salad with oil?
das Öl, -e(2)	Können Sie bei meinem Auto bitte das Öl kontrollieren?	Could you please check the oil in my car?
online	Wann bist du wieder online?	When will you be online again?
online(2)	Ich habe hier kein Internet. Ich bin erst heute Abend wieder online.	I don’t have internet here. I’ll be online again only this evening.
online(3)	Sie können das Geld auch online überweisen.	You can also transfer the money online.
die Orange, -n	Ich esse gern Orangen.	I like eating oranges.
die Ordnung, -en	Er hat seine Hausaufgabe gut gemacht. Das ist alles in Ordnung.	He did his homework well. Everything is in order.
die Ordnung, -en(2)	Ich mache gleich Ordnung in meinem Zimmer.	I’ll tidy up my room right away.
organisieren, organisiert, hat organisiert	Frau Gomez organisiert unseren Ausflug.	Ms. Gomez is organizing our trip.
organisieren, organisiert, hat organisiert(2)	Hast du schon alles für deinen Urlaub organisiert?	Have you already organized everything for your vacation?
der Ort, -e	Vergessen Sie Ort und Datum nicht, wenn Sie einen Brief schreiben.	Don’t forget the place and date when you write a letter.
der Ort, -e(2)	Der Ort liegt in den Bergen.	The place is located in the mountains.
der Ort, -e(3)	Wohnort: Köln.	Place of residence: Cologne.
