german word	german sentence	english translation
der Kaffee, -s	Zum Frühstück trinke ich immer Kaffee.	For breakfast, I always drink coffee.
der Kaffee, -s(2)	Einen Kaffee, bitte.	A coffee, please.
der Kalender, -	Haben Sie am Montag Zeit? - Einen Moment, ich schaue in meinem Kalender.	Do you have time on Monday? - One moment, I'll check my calendar.
der Kalender, - (2)	Ich schreibe alle Termine in meinen Kalender.	I write all appointments in my calendar.
kalt	Heute ist es sehr kalt.	Today it is very cold.
kalt(2)	Der Kaffee ist kalt. Ich möchte ihn nicht mehr trinken.	The coffee is cold. I don’t want to drink it anymore.
kalt(3)	Mir ist kalt.	I’m cold.
die Kamera, -s	Hannes hat eine neue Kamera. Er kann mit der Kamera Fotos und Filme machen.	Hannes has a new camera. He can take photos and videos with the camera.
kaputt	Unsere Waschmaschine ist kaputt.	Our washing machine is broken.
die Karte, -n	Ich schreibe meinen Bekannten eine Karte aus dem Urlaub.	I write my friends a postcard from vacation.
die Karte, -n(2)	Wollen wir Karten spielen?	Do you want to play cards?
die Karte, -n(3)	Du musst noch die Karten für das Konzert abholen, vergiss das bitte nicht!	You still need to pick up the tickets for the concert, please don’t forget!
die Karte, -n(4)	Die Karte, bitte! Ich möchte etwas bestellen.	The menu, please! I’d like to order something.
die Karte, -n(5)	Kann ich auch mit Karte (be-)zahlen?	Can I also pay by card?
die Kartoffel, -n	Für Pommes frites braucht man Kartoffeln.	You need potatoes for French fries.
der Käse (Sg.)	Isst du lieber Käse oder Wurst?	Do you prefer cheese or sausage?
die Kasse, -n	Zahlen Sie bitte an der Kasse.	Please pay at the checkout.
die Katze, -n	Meine Tochter wünscht sich eine Katze.	My daughter wants a cat.
kaufen, kauft, hat gekauft	Tim kauft sich ein neues Auto.	Tim is buying a new car.
kaufen, kauft, hat gekauft(2)	Das Kaufhaus ist sehr groß.	The department store is very large.
kein, keine	Hast du keinen Hunger?	Don’t you feel hungry?
kein, keine(2)	Ich habe heute leider keine Zeit.	Unfortunately, I have no time today.
kein, keine(3)	Ich spreche leider kein Chinesisch.	I unfortunately do not speak Chinese.
kein, keine(4)	Ich habe keine Kinder.	I don’t have any children.
der Keller, -	Bitte bring die Kartoffeln in den Keller!	Please take the potatoes to the cellar!
der Keller, - (2)	Die Waschmaschinen sind im Keller.	The washing machines are in the basement.
kennen, kennt, hat gekannt	Kennen Sie diese Frau? – Nein, leider nicht.	Do you know this woman? – No, unfortunately not.
kennen, kennt, hat gekannt(2)	Kennen Sie Berlin? – Ja, eine tolle Stadt.	Do you know Berlin? – Yes, a great city.
kennenlernen, lernt kennen, hat kennengelernt	Wo habt ihr euch kennengelernt? – Wir haben uns in München kennengelernt.	Where did you meet? – We met in Munich.
die Kenntnisse (Pl.)	Deine Deutschkenntnisse sind sehr gut!	Your German skills are very good!
die Kenntnisse (Pl.)(2)	Ich möchte meine Computerkenntnisse verbessern.	I would like to improve my computer skills.
die Kette, -n	Meine Mutter bekommt eine schöne Kette zum Geburtstag.	My mother is getting a beautiful necklace for her birthday.
das Kind, -er	Wie viele Kinder haben Sie?	How many children do you have?
der Kindergarten, ¨-	Die kleine Laura geht schon in den Kindergarten.	Little Laura is already going to kindergarten.
das Kino, -s	Gehen wir heute Abend zusammen ins Kino?	Shall we go to the cinema together this evening?
der Kiosk, -e	Zeitungen kannst du am Kiosk kaufen.	You can buy newspapers at the kiosk.
die Kirche, -n	Diese Kirche ist fast 800 Jahre alt.	This church is almost 800 years old.
klappen, klappt, hat geklappt	Können wir uns heute Mittag treffen? – Ja, das klappt.	Can we meet this afternoon? – Yes, that works.
klappen, klappt, hat geklappt(2)	Wie war die Reise? - Gut, es hat alles super geklappt.	How was the trip? - Good, everything went very well.
klar	Kommst du mit? – Klar!	Are you coming? – Sure!
klar(2)	Ich komme morgen zu deiner Party, das ist doch klar.	I’m coming to your party tomorrow, that’s clear.
das Klavier, -e	Jakob kann sehr gut Klavier spielen.	Jakob can play the piano very well.
das Kleid, -er	Julia möchte ein rotes Kleid kaufen.	Julia wants to buy a red dress.
die Kleidung (Sg.)	Wo finde ich Kleidung? – Hosen im ersten, Kleider und Röcke im zweiten Stock.	Where can I find clothing? – Pants on the first floor, dresses and skirts on the second floor.
klein	Unsere Wohnung ist sehr klein.	Our apartment is very small.
klein(2)	Unsere Tochter ist noch klein. Sie ist erst zwei Jahre alt.	Our daughter is still small. She is only two years old.
klein(3)	Wir machen am Wochenende einen kleinen Ausflug.	We’re going on a small trip this weekend.
klug	Molly ist ein kluges Mädchen.	Molly is a clever girl.
klug(2)	Lisa ist sehr klug. Sie bekommt immer gute Noten.	Lisa is very smart. She always gets good grades.
klug(3)	Das ist klug von dir.	That’s clever of you.
kochen, kocht, hat gekocht	Herr Georgi kann gut kochen.	Mr. Georgi can cook well.
kochen, kocht, hat gekocht(2)	Das Wasser kocht.	The water is boiling.
der Koffer, -	Hast du den Koffer schon gepackt?	Have you packed the suitcase yet?
der Kollege, -n / die Kollegin, -nen	Wie heißt die neue Kollegin?	What’s the name of the new female colleague?
komisch	Der Film war sehr komisch. Wir haben viel gelacht.	The film was very funny. We laughed a lot.
komisch(2)	Eine grüne Hose und gelbe Schuhe? Das sieht komisch aus.	Green pants and yellow shoes? That looks strange.
komisch(3)	Das Essen schmeckt komisch. Probier mal!	The food tastes weird. Try it!
kommen, kommt, ist gekommen	Woher kommen Sie? – Aus Frankreich.	Where are you from? – From France.
kommen, kommt, ist gekommen(2)	Er wird bald kommen.	He will come soon.
können, kann, konnte, hat gekonnt	Ich kann Deutsch und Russisch. Aber Englisch kann ich nicht.	I can speak German and Russian. But I can’t speak English.
können, kann, konnte, hat gekonnt(2)	Können Sie mir helfen?	Could you help me?
können, kann, konnte, hat gekonnt(3)	Du kannst durch den Park laufen, das ist am schnellsten.	You can walk through the park; it’s the fastest.
können, kann, konnte, hat gekonnt(4)	Kann ich jetzt nach Hause gehen?	Can I go home now?
können, kann, konnte, hat gekonnt(5)	Sie können mit dem Bus an den Bahnhof fahren.	You can take the bus to the train station.
der Kontakt, -e	Ich habe wenig Kontakt zu meinen Kollegen.	I have little contact with my colleagues.
der Kontakt, -e(2)	Bitte schicken Sie mir Ihre Kontaktdaten!	Please send me your contact details.
das Konto, -en	Das Geld überweisen wir am ersten März auf Ihr Konto.	We will transfer the money to your account on March 1st.
kontrollieren, kontrolliert, hat kontrolliert	Können Sie bei meinem Auto bitte das Öl kontrollieren?	Could you please check the oil in my car?
kontrollieren, kontrolliert, hat kontrolliert(2)	Bitte öffnen Sie Ihren Koffer, wir müssen Ihr Gepäck kontrollieren.	Please open your suitcase; we need to check your luggage.
das Konzert, -e	Für das Konzert am Sonntag gibt es noch Karten.	There are still tickets available for the concert on Sunday.
der Kopf, ¨-e	Mein Kopf tut weh!	My head hurts!
der Körper, -	Der Arzt sagt, ich muss etwas für meinen Körper tun, z. B. schwimmen oder Fahrrad fahren.	The doctor says I need to do something for my body, e.g., swim or ride a bike.
die Kosmetik (Sg.)	Kosmetik können Sie im Erdgeschoss kaufen.	You can buy cosmetics on the ground floor.
kosten, kostet, hat gekostet	Wie viel kostet das Buch? – 20 Euro.	How much does the book cost? – 20 Euros.
kostenlos	Diese Zeitschrift kostet nichts. Sie ist kostenlos.	This magazine is free. It doesn’t cost anything.
krank	Ich kann heute nicht zur Arbeit kommen, ich bin krank und liege im Bett.	I can’t come to work today; I’m sick and lying in bed.
das Krankenhaus, ¨-er	Meine Tante ist im Krankenhaus.	My aunt is in the hospital.
das Krankenhaus, ¨-er(2)	Er hat sich verletzt und muss ins Krankenhaus.	He hurt himself and has to go to the hospital.
die Krankenkasse, -n	Bei welcher Krankenkasse sind Sie?	Which health insurance are you with?
die Krankheit, -en	Welche Krankheit hat Herr Brandner?	What illness does Mr. Brandner have?
der Kredit, -e	Ich brauche einen Kredit von der Bank.	I need a loan from the bank.
der Kredit, -e(2)	Bezahlen Sie mit Kreditkarte?	Do you pay by credit card?
die Kreuzung, -en	Fahren Sie an der nächsten Kreuzung rechts.	Turn right at the next intersection.
kriegen, kriegt, hat gekriegt	Ich kriege 15 Euro pro Stunde für meinen Job.	I get 15 euros per hour for my job.
kriegen, kriegt, hat gekriegt(2)	Auch wenn du schnell läufst: Ich kriege dich.	Even if you run fast: I will catch you.
kriegen, kriegt, hat gekriegt(3)	Was kriegen Sie? – Ein Käsebrötchen, bitte.	What will you have? – A cheese roll, please.
der Krimi, -s	Miriam liest gern spannende Krimis.	Miriam likes to read thrilling crime novels.
der Krimi, -s(2)	Schauen wir am Sonntag zusammen den Tatort? – Nein, ich mag keine Krimis.	Shall we watch "Tatort" together on Sunday? – No, I don’t like crime shows.
die Küche, -n	Ich suche eine neue Wohnung mit drei Zimmern, Küche und Bad.	I’m looking for a new apartment with three rooms, a kitchen, and a bathroom.
der Kuchen, -	Er ißt sonntags ein Stück Kuchen.	On Sundays he eats a piece of cake.
