german word	german sentence	english translation
das Fach, ¨-er	Welches Fach magst du in der Schule am liebsten?	Which subject do you like most in school?
(ab)fahren	Ich fahre mit dem Auto zur Arbeit.	I’m driving to work.
fährt (ab)	Achtung an Gleis 17! Der Zug München - Paris fährt jetzt ab.	Attention on platform 17! The Munich-Paris train is departing.
ist (ab)gefahren	Der Zug ist schon abgefahren.	The train has already left.
die Abfahrt, -en	Wir haben noch zwanzig Minuten bis zur Abfahrt.	We still have twenty minutes until departure.
die Fahrkarte, -n	Hast du schon eine Fahrkarte?	Have you already bought a ticket?
die Fahrkarte(2)	Ihre Fahrkarten, bitte!	Your tickets, please!
der Fahrplan, ¨-e	Ist das der neue Fahrplan?	Is this the new timetable?
das (Fahr)Rad, ¨-er	Wenn es nicht regnet, fahre ich mit dem Fahrrad.	If it doesn’t rain, I’ll go by bike.
fallen, fällt	Pass auf, das Glas fällt gleich vom Tisch.	Watch out, the glass is about to fall off the table.
ist gefallen	Das Glas ist vom Tisch gefallen.	The glass fell off the table.
falsch	Die Lösung ist falsch.	The solution is wrong.
falsch(2)	Sie haben die falsche Nummer gewählt.	You dialed the wrong number.
die Familie, -n	Meine Familie lebt in Spanien.	My family lives in Spain.
die Familie(2)	Ich habe eine große Familie.	I have a big family.
der Familienname, -n	Mein Familienname ist González.	My family name is González.
der Fan, -s	Er ist ein großer Fußballfan.	He’s a big football fan.
der Fan(2)	Bella ist ein Fan von Rammstein.	Bella is a fan of Rammstein.
fantastisch	Dein neues Kleid sieht fantastisch aus!	Your new dress looks fantastic!
fantastisch(2)	Das Buch ist fantastisch. Du musst es unbedingt lesen!	The book is fantastic. You have to read it!
die Farbe, -n	Die Farbe gefällt mir gut.	I like the color.
die Farbe(2)	Was ist deine Lieblingsfarbe?	What’s your favorite color?
fast	Der Film ist fast zu Ende.	The movie is almost over.
fast(2)	Ich habe fast alles verstanden.	I understood almost everything.
faul	Heute sind wir faul: Wir machen keine Hausaufgaben und arbeiten nicht.	Today we’re lazy: We’re not doing homework or working.
fehlen, fehlt	Herr Müller ist nicht da, er fehlt schon seit drei Tagen.	Mr. Müller isn’t here; he’s been missing for three days.
fehlen(2)	Was fehlt Ihnen?	What’s wrong with you?
der Fehler, -	Diesen Fehler mache ich immer wieder.	I keep making this mistake.
die Feier, -n	Wann hast du Feierabend?	When do you finish work?
die Feier(2)	Am ersten Mai ist ein Feiertag.	May 1st is a public holiday.
feiern, feiert	Wir feiern heute meinen Geburtstag.	We’re celebrating my birthday today.
feiern(2)	Die Feier war sehr schön.	The party was very nice.
das Fenster, -	Kannst du bitte das Fenster öffnen?	Can you please open the window?
die Ferien (Pl.)	Bald haben wir Ferien.	We’ll have a holiday soon.
die Ferien(2)	Fährst du in den Ferien weg oder bleibst du zu Hause?	Are you going away during the holidays, or are you staying home?
fernsehen, sieht fern	Lass uns heute Abend mal fernsehen.	Let’s watch TV tonight.
fernsehen(2)	hat ferngesehen	watched TV.
der Fernseher, -	Der Fernseher ist kaputt.	The TV is broken.
fertig sein, ist fertig	Das Essen ist gleich fertig. Kommst du?	The food is almost ready. Are you coming?
fertig sein(2)	Wir müssen gleich gehen. Bist du fertig?	We need to leave soon. Are you ready?
das Fest, -e	Frohes Fest!	Happy holiday!
das Fest(2)	Am Wochenende feiern wir ein Fest. Meine Tochter hat Geburtstag.	We’re having a party this weekend. My daughter’s birthday is coming up.
das Festival, -s	Am Wochenende ist in der Stadt ein Musik-Festival.	There’s a music festival in town this weekend.
fett	Die Wurst ist mir zu fett.	The sausage is too fatty for me.
das Fieber (Sg.)	Sie hat hohes Fieber.	She has a high fever.
der Film, -e	Ich möchte gern diesen Film sehen.	I’d like to see this movie.
finden, findet	Wir müssen den Schlüssel finden.	We need to find the key.
finden(2)	Ich finde es nicht gut, dass du so viel arbeitest.	I don’t think it’s good that you work so much.
finden(3)	Ich finde ihn sehr nett.	I think he’s very nice.
die Firma, -en	Er arbeitet jetzt bei einer anderen Firma.	He’s working for a different company now.
der Fisch, -e	Fisch mag ich lieber als Fleisch.	I prefer fish to meat.
fit sein, ist fit	Tom will fit sein. Er geht jeden Tag ins Fitnessstudio.	Tom wants to be fit. He goes to the gym every day.
fit sein(2)	war fit	was fit.
die Flasche, -n	Eine Flasche Mineralwasser, bitte!	A bottle of mineral water, please!
das Fleisch (Sg.)	Fleisch mag ich nicht.	I don’t like meat.
fleißig	Ibrahim ist sehr fleißig. Er macht immer seine Hausaufgaben.	Ibrahim is very hardworking. He always does his homework.
(ab)fliegen, fliegt (ab)	Ich fliege in den Ferien nach Spanien.	I’m flying to Spain during the holidays.
(ab)fliegen(2)	ist (ab)geflogen	has flown (departed).
der Flohmarkt, ¨-e	Ich gehe gern auf den Flohmarkt.	I like going to the flea market.
der Flohmarkt(2)	Diesen Hut habe ich auf dem Flohmarkt gekauft.	I bought this hat at the flea market.
der Flug, ¨-e	Ich möchte einen Flug nach Kanada buchen.	I’d like to book a flight to Canada.
der Flug(2)	Der Flug LH123 von München nach Frankfurt ist um 21:00 Uhr.	Flight LH123 from Munich to Frankfurt is at 9:00 PM.
der Flughafen, ¨-	Der Flughafen ist sehr groß.	The airport is very big.
das Flugzeug, -e	Das Flugzeug aus Berlin hat Verspätung.	The plane from Berlin is delayed.
das Flugzeug(2)	Das Flugzeug startet in einer halben Stunde.	The plane is taking off in half an hour.
der Fluss, ¨-e	Der Rhein ist ein großer Fluss.	The Rhine is a big river.
das Formular, -e	Sie müssen dieses Formular ausfüllen.	You need to fill out this form.
der Fotoapparat, -e	Ich möchte mir einen Fotoapparat kaufen.	I’d like to buy a camera.
fotografieren, fotografiert	Ich fotografiere gern.	I like to take photos.
fotografieren(2)	hat fotografiert	has photographed.
das Foto, -s	Darf ich ein Foto machen?	May I take a photo?
die Frage, -n	Ich habe eine Frage.	I have a question.
fragen, fragt	Er fragt, wann er kommen kann.	He’s asking when he can come.
fragen(2)	hat gefragt	has asked.
die Frau, -en	Das ist Frau Becker.	That’s Mrs. Becker.
die Frau(2)	Guten Tag, Frau Schmitt!	Good day, Mrs. Schmitt!
die Frau(3)	Hier arbeiten mehr Frauen als Männer.	More women work here than men.
frei	Entschuldigung, ist dieser Platz noch frei?	Excuse me, is this seat still free?
frei(2)	Morgen haben wir frei.	We’re off tomorrow.
freiwillig	Manchmal bleibe ich freiwillig länger im Büro.	Sometimes I stay longer at the office voluntarily.
früher	Früher habe ich in Berlin gewohnt.	I used to live in Berlin.
früher(2)	Wir nehmen den früheren Zug.	We’re taking the earlier train.
das Frühstück (Sg.)	Möchtest du ein Ei zum Frühstück?	Would you like an egg for breakfast?
frühstücken, frühstückt	Ich frühstücke immer um 9:00 Uhr.	I always have breakfast at 9:00.
fühlen (sich), fühlt	Wie fühlen Sie sich?	How are you feeling?
fühlen (sich)(2)	Ich fühle mich heute nicht gut.	I’m not feeling well today.
der Führerschein, -e	Hast du den Führerschein?	Do you have a driver’s license?
der Führerschein(2)	Sie hat die Führerscheinprüfung bestanden.	She passed her driving test.
die Führung, -en	Die nächste Führung beginnt um 15 Uhr.	The next tour starts at 3:00 PM.
die Fundsachen (Pl.)	Haben Sie meinen Schirm gefunden?	Have you found my umbrella?
die Fundsachen(2)	Sie können dort bei den Fundsachen schauen.	You can check at lost and found.
für	Das Paket ist für Sie.	The package is for you.
für(2)	Das ist der Schlüssel für die Haustür.	This is the key for the front door.
für(3)	Gibt es hier einen Sportverein für Jugendliche?	Is there a sports club for teenagers here?
furchtbar	Er hat furchtbare Schmerzen.	He’s in terrible pain.
furchtbar(2)	Die Hose sieht ja furchtbar aus. So kannst du nicht zur Arbeit gehen!	Those pants look awful. You can’t go to work like that!
der Fuß, ¨-e	Der linke Fuß tut mir weh.	My left foot hurts.
der Fuß(2)	Gehen Sie zu Fuß zur Arbeit?	Do you walk to work?
der Fußball, ¨-e	Spielt ihr gern Fußball?	Do you like to play football?
die Freizeit (Sg.)	In meiner Freizeit spiele ich oft Fußball.	In my free time, I often play football.
fremd	Das weiß ich nicht; ich bin fremd hier.	I don’t know that; I’m not from around here.
fremd(2)	Ich reise gern in fremde Länder.	I like traveling to foreign countries.
freuen (sich), freut	Zum Geburtstag habe ich ein interessantes Buch bekommen. 	I’m very happy about the gift I received for my birthday.
freuen (sich)(2)	Die Kinder freuen sich schon auf die Ferien.	The kids are already excited about the holidays.
freuen (sich)(3)	Ich freue mich, weil ich heute mit meinen Freunden Fußball spiele.	I’m happy because I’m playing football with my friends today.
freuen (sich)(4)	Es/Das freut mich!	I’m glad!
der Freund, -e	Das ist ein Freund von mir.	That’s a friend of mine.
die Freundin, -nen	Das ist meine Freundin Susanne.	That’s my friend Susanne.
freundlich	Er ist immer sehr freundlich zu mir.	He’s always very friendly to me.
freundlich(2)	Mit freundlichen Grüßen	Best regards.
frisch	Das Brot ist noch ganz frisch.	I just bought the bread, and it’s still fresh.
frisch(2)	Ich habe es gerade gekauft.	I just bought it.
froh	Ich bin froh, dass du kommen kannst.	I’m happy that you can come.
froh(2)	Frohes Fest!	Happy holidays!
früh	Geht es auch später? Sechs Uhr ist mir zu früh.	Is it possible to meet later? 6 AM is too early for me.
früh(2)	Ich muss morgen sehr früh aufstehen.	I have to get up very early tomorrow.
