german word	german sentence	english translation
die Fabrik(1)	Ich arbeite in einer Autofabrik.	I work in a car factory.
das Fach(1)	Die Handtücher sind im obersten Fach links.	The towels are in the top compartment on the left.
das Fach(2)	Welches Fach magst du in der Schule am liebsten?	Which subject do you like the most in school?
der Fachmann(1)	Meine Schwester ist Computerfachfrau.	My sister is a computer specialist.
die Fachfrau(1)	Die suchen Fachleute für dieses Computerprogramm.	They are looking for experts for this computer program.
die Fachleute(1)	Die suchen Fachleute für dieses Computerprogramm.	They are looking for experts for this computer program.
die Fähigkeit(1)	In seiner Position braucht man die Fähigkeit, andere zu überzeugen.	In his position, one needs the ability to persuade others.
die Fähigkeit(2)	Ich glaube, sie hat die Fähigkeit dazu.	I believe she has the ability to do that.
fahren(1)	Wir sind mit dem Zug gefahren.	We traveled by train.
fahren(2)	Fahr nicht so schnell.	Don’t drive so fast.
fahren(3)	Frau Koch fährt einen Mercedes.	Mrs. Koch drives a Mercedes.
fahren(4)	Soll ich dich nach Hause fahren?	Should I drive you home?
fahren(5)	Er hat das Auto in die Garage gefahren.	He drove the car into the garage.
die Fähre(1)	Wir nehmen die Fähre über den Bodensee.	We take the ferry across Lake Constance.
die Fahrbahn(1)	Fahren Sie bitte vorsichtig. Es sind Kühe auf der Fahrbahn.	Please drive carefully. There are cows on the road.
fantastisch(1)	Die Aussicht ist fantastisch!	The view is fantastic!
der Fahrer(1)	Die Fahrerin des Wagens wurde nicht verletzt.	The driver of the car was not injured.
der Fahrer(2)	Leonid ist von Beruf Busfahrer.	Leonid is a bus driver by profession.
der Fahrer(3)	Während der Fahrt bitte nicht mit dem Fahrer sprechen!	Please do not speak with the driver during the trip.
die Fahrkarte(1)	Fahrkarten bekommt man am Automaten.	Tickets can be obtained from the machine.
der Fahrplan(1)	Der Fahrplan hat sich geändert.	The timetable has changed.
der Fahrplan(2)	Haben Sie schon den neuen Sommerfahrplan?	Have you seen the new summer timetable?
das Fahrrad(1)	Sie fährt jeden Morgen mit dem Fahrrad zur Arbeit.	She rides her bike to work every morning.
das Fahrzeug(1)	Wem gehört das Fahrzeug?	Who owns the vehicle?
fair(1)	Ich finde, unsere Mannschaft hat sehr fair gespielt.	I think our team played very fairly.
der Faktor(1)	Die Creme hat einen hohen Sonnenschutzfaktor.	The cream has a high sun protection factor.
der Fall(1)	Was würden Sie in diesem Fall tun?	What would you do in this case?
der Fall(2)	Rufen Sie auf jeden Fall vorher noch einmal an.	Make sure to call again in any case.
die Farbe(1)	Welche Farbe magst du am liebsten?	What color do you like best?
die Farbe(2)	Diese Farbe trocknet schnell.	This color dries quickly.
die Farbe(3)	Ich brauche kein weißes, sondern farbiges Papier.	I need colored paper, not white.
das Faschierte(1)	Geben Sie mir bitte 500 g Faschiertes.	Please give me 500 grams of minced meat.
der Fasching(1)	Dort hängt mein Kostüm für den Faschingsumzug.	There hangs my costume for the carnival parade.
die Fasnacht(1)	Dort hängt mein Kostüm für den Fasnachtsumzug.	There hangs my costume for the carnival parade.
fassen(1)	Sie haben den Dieb gefasst.	They have caught the thief.
fassen(2)	Ich habe den Entschluss gefasst, nach Wien zu ziehen.	I have made the decision to move to Vienna.
fast(1)	Das Konzert ist fast zu Ende.	The concert is almost over.
fast(2)	Ich habe fast alles verstanden.	I understood almost everything.
faul(1)	Mein Sohn war am Anfang in der Schule sehr faul. Heute lernt er sehr fleißig.	My son was very lazy in school at first. Today he studies very diligently.
faul(2)	Den Apfel kannst du nicht mehr essen. Er ist faul.	You can’t eat the apple anymore. It’s rotten.
fallen(1)	Das Glas ist auf den Boden gefallen.	The glass fell to the floor.
fallen(2)	In den Bergen ist schon Schnee gefallen.	Snow has already fallen in the mountains.
fallen(3)	Die Temperatur ist ganz plötzlich unter null gefallen.	The temperature suddenly fell below zero.
fällig(1)	Die Rechnung ist Ende des Monats fällig.	The bill is due at the end of the month.
falls(1)	Falls es regnet, machen wir kein Picknick.	If it rains, we won’t have a picnic.
faulenzen(1)	Am Wochenende können wir faulenzen.	On the weekend we can relax.
der Fauteuil(1)	Ich hätte gern einen bequemen Fauteuil.	I would like a comfortable armchair.
fehlen(1)	Auf dem Brief fehlt der Absender.	The letter is missing the sender.
fehlen(2)	Hast du Kleingeld? Mir fehlt ein Euro.	Do you have any change? I am missing a euro.
fehlen(3)	In der Kasse fehlen 20 Euro.	There are 20 euros missing from the cash register.
fehlen(4)	Antonio war nicht in der Schule, er fehlt schon seit drei Tagen.	Antonio was not at school; he has been missing for three days.
fehlen(5)	Was fehlt Ihnen? Haben Sie Schmerzen?	What is missing? Do you have pain?
falsch(1)	Tut mir leid, ich habe die falsche Nummer gewählt.	Sorry, I dialed the wrong number.
falsch(2)	Meine Uhr geht falsch.	My watch is running incorrectly.
falsch(3)	Was Sie da sagen, ist falsch.	What you are saying is wrong.
die Familie(1)	Ich habe eine große Familie.	I have a large family.
der Familienstand(1)	Bei „Familienstand“ musst du „ledig“ ankreuzen.	For marital status, you need to check single.
fangen(1)	Das Kind hat den Ball gefangen.	The child caught the ball.
fangen(2)	Unsere Katze hat eine Maus gefangen.	Our cat caught a mouse.
die Fantasie(1)	Mein Sohn malt sehr gut. Er hat viel Fantasie.	My son paints very well. He has a lot of imagination.
der Fehler(1)	Ich glaube, da haben Sie einen Fehler gemacht.	I think you made a mistake.
der Fehler(2)	Die Schülerin hat den Fehler sofort gefunden.	The student found the mistake immediately.
feiern(1)	Wir haben gestern Karls Geburtstag gefeiert.	We celebrated Karl's birthday yesterday.
die Feier(1)	Es war eine schöne Feier.	It was a nice celebration.
der Feierabend(1)	Einen schönen Feierabend.	Have a nice evening.
der Feiertag(1)	Am Montag ist Feiertag.	Monday is a public holiday.
der Feiertag(2)	Schöne Feiertage.	Happy holidays.
das Feld(1)	Auf diesem Feld wächst Gemüse.	Vegetables grow in this field.
das Fenster(1)	Darf ich einen Moment das Fenster aufmachen?	May I open the window for a moment?
die Ferien(1)	Ich habe noch drei Tage Ferien.	I still have three days of vacation.
die Ferien(2)	Ich suche eine günstige Ferienwohnung.	I am looking for a cheap vacation apartment.
die Fernbedienung(1)	Hast du die Fernbedienung gesehen?	Have you seen the remote control?
fernsehen(1)	Meine Kinder dürfen abends nur eine Stunde fernsehen.	My children are allowed to watch TV for only one hour in the evening.
fernsehen(2)	Was gibt es heute Abend im Fernsehen?	What is on TV tonight?
