german word	german sentence	english translation
die Sache, -n	Ihr könnt eure Sachen im Hotel lassen.	You can leave your things at the hotel.
die Sache, -n(2)	Nimm deine Sachen und komm!	Take your things and come!
die Sache, -n(3)	Das ist meine Sache.	That's my business.
der Saft, ¨-e	Möchtest du einen Apfelsaft?	Would you like an apple juice?
sagen, sagt	Entschuldigung, was haben Sie gesagt?	Sorry, what did you say?
sagen, sagt(2)	Wie sagt man „sorry“ auf Deutsch?	How do you say sorry in German?
sagen, sagt(3)	Sag mal, wie geht es dir denn?	Tell me, how are you doing?
der Salat, -e	Wie schmeckt dir der Salat?	How do you like the salad?
der Salat, -e(2)	Möchten Sie zum Fisch einen Salat?	Would you like a salad with the fish?
das Salz, -e	Entschuldigung, kann ich bitte Salz haben?	Excuse me, may I have some salt, please?
sammeln, sammelt	Peter sammelt Briefmarken.	Peter collects stamps.
sammeln, sammelt(2)	Im Herbst sammeln wir im Wald bunte Blätter.	In autumn, we collect colorful leaves in the forest.
sammeln, sammelt(3)	Er hat Briefmarken gesammelt.	He collected stamps.
der Satz, ¨-e	Den letzten Satz verstehe ich nicht.	I don't understand the last sentence.
sauber	Bringen Sie mir bitte ein sauberes Glas!	Please bring me a clean glass.
sauer	Zitronen sind mir zu sauer.	Lemons are too sour for me.
sauer(2)	Was ist los? – Ich bin sauer. Ich muss am Wochenende zu Hause bleiben und darf nicht mit meinen Freunden ins Kino gehen.	What's wrong? – I am angry. I have to stay at home this weekend and can't go to the cinema with my friends.
schade	Schade, dass du nicht kommen kannst.	It's a pity that you can't come.
schädlich	Rauchen ist schädlich für die Gesundheit.	Smoking is harmful to health.
schaffen, schafft	Kannst du mir bitte helfen? Ich schaffe das nicht alleine.	Can you help me, please? I can't manage it alone.
schaffen, schafft(2)	Geschafft! Das Projekt ist endlich fertig.	Managed it! The project is finally finished.
der Schalter, -	Gehen Sie bitte zum Schalter drei!	Please go to counter three!
der Schalter, - (2)	Der Lichtschalter ist neben der Tür.	The light switch is next to the door.
scharf	Die Suppe ist mir zu scharf.	The soup is too spicy for me.
scharf(2)	Pass auf! Das Messer ist sehr scharf.	Watch out! The knife is very sharp.
scheinen, scheint	Die Sonne scheint.	The sun is shining.
scheinen, scheint(2)	Es hat geschienen.	It seemed.
