german word	german sentence	english translation
ja	Sind Sie Herr Watanabe? – Ja.	Are you Mr. Watanabe? – Yes.
ja(2)	Du bist hier in Berlin? Das ist ja toll!	You are here in Berlin? That's great!
die Jacke, -n	Zieh dir eine Jacke an. Es ist kalt.	Put on a jacket. It’s cold.
die Jeans (Pl.)	Ich mag Jeans lieber als Röcke.	I prefer jeans to skirts.
jeder, jede, jedes	Das Restaurant hat jeden Tag geöffnet.	The restaurant is open every day.
jeder, jede, jedes(2)	Jedes Kind bekommt einen Ball.	Every child gets a ball.
jemand	Hat jemand meinen Stift?	Has someone seen my pen?
jemand(2)	Hallo, ist jemand da?	Hello, is anyone there?
jetzt	Jetzt machen wir eine Pause.	Now we are taking a break.
der Job, -s	Jenny hat einen neuen Job bei der Post.	Jenny has a new job at the post office.
der Job, -s(2)	Ich suche noch einen Ferienjob. 	I am still looking for a holiday job.
joggen, joggt, ist/hat gejoggt	Ich jogge gern im Park.	I like to jog in the park.
die Jugendherberge, -n	Wir übernachten in einer Jugendherberge. 	We are staying in a youth hostel.
der/die Jugendliche, -n	Viele Jugendliche hören den ganzen Tag Musik. 	Many young people listen to music all day.
der/die Jugendliche, -n(2)	Der Eintritt für Kinder und Jugendliche bis 16 Jahre ist frei. 	Admission is free for children and teenagers up to 16 years old.
jung	Claudia ist 21. – Was? Noch so jung?	Claudia is 21. – What? Still so young?
jung(2)	Bei uns im Haus wohnen viele junge Leute. 	Many young people live in our building.
jung(3)	Mein Bruder ist fünf Jahre jünger als ich. 	My brother is five years younger than I am.
der Junge, -n	In der Klasse von meiner Tochter sind 13 Jungen und 15 Mädchen. 	In my daughter’s class, there are 13 boys and 15 girls.
