german word	german sentence	english translation
das Café(1)	Hier in der Nähe ist ein Café. Lass uns einen Kaffee trinken.	There is a café nearby. Let’s have a coffee.
die Cafeteria(1)	Ich hole mir schnell etwas aus der Cafeteria.	I’ll quickly get something from the cafeteria.
die Chance(1)	Mein Mann hat gute Chancen, die Stelle zu bekommen.	My husband has a good chance of getting the job.
der Chef(1)	Das kann ich nicht allein entscheiden, da muss ich erst die Chefin fragen.	I can’t decide that alone; I need to ask the boss first.
die Chefin(1)	Das kann ich nicht allein entscheiden, da muss ich erst die Chefin fragen.	I can’t decide that alone; I need to ask the boss first.
chic/schick(1)	Ich finde dein Kleid sehr chic.	I think your dress is very stylish.
der Coiffeur(1)	Du siehst toll aus! Wer ist dein Coiffeur?	You look great! Who is your hairdresser?
der Coiffeur(2)	Meine Tochter will Coiffeuse werden.	My daughter wants to become a hairdresser.
die Couch(1)	Wir haben uns eine Couch und neue Sessel gekauft.	We bought a couch and new armchairs.
die Creme(1)	Ich hätte gern eine Creme für die Hände.	I would like a cream for my hands.
die Creme(2)	Für die Creme habe ich Butter und Schokolade genommen.	For the cream, I used butter and chocolate.
der Cousin(1)	Meine Cousine wohnt jetzt in Brasilien.	My cousin now lives in Brazil.
die Cousine(1)	Meine Cousine wohnt jetzt in Brasilien.	My cousin now lives in Brazil.
das Couvert(1)	Ich hätte gern 50 Couverts und Briefmarken dazu.	I would like 50 envelopes and stamps.
