da(1)	Da hinten ist er ja. There he is over there.
da(2)	Wir sprechen gerade über Paul. Da kommt er ja gerade. We’re talking about Paul. There he comes.
da(3)	Ich nehme das da. I'll take that one there.
da(4)	Ist Herr Klein schon da? Is Mr. Klein already here?
die Dame, -n(1)	Damen (an der Toilette) Ladies (at the toilet)
die Dame, -n(2)	Sehr geehrte Damen und Herren! Dear ladies and gentlemen!
daneben	Du kennst doch die Post. Daneben ist die Bank. You know the post office. Next to it is the bank.
danken	Ich danke Ihnen für die Einladung. Thank you for the invitation.
der Dank(1)	Vielen Dank! Many thanks!
der Dank(2)	Herzlichen Dank! Heartfelt thanks!
danke	Soll ich Ihnen helfen? - Nein, danke! Should I help you? - No, thank you!
dann	Ich muss noch schnell zur Post, dann komme ich. I need to quickly go to the post office, then I'll come.
das Datum	Bitte schreiben Sie noch das Datum auf das Formular. Please also write the date on the form.
dauern	Wie lange dauert der Film? How long does the movie last?
dein-(1)	Ist das dein Auto? Is that your car?
dein-(2)	Ist das deins? Is that yours?
denn	Ich kann nicht kommen, denn ich bin krank. I can’t come because I’m sick.
der, die, das(1)	Ich nehme das da. I’ll take that one there.
der, die, das(2)	Hier ist der Brief, den du suchst. Here is the letter you’re looking for.
der, die, das(3)	Die Fahrkarte bekommst du am Bahnhof. You get the ticket at the station.
dich	Die Blumen sind für dich. The flowers are for you.
dies-(1)	Ich nehme lieber diesen Kuchen. I’d prefer to take this cake.
dir	Gefallen dir die Blumen? Do you like the flowers?
die Disco	Heute Abend gehen wir in die Disco tanzen. Tonight, we’re going to dance at the disco.
der Doktor	Meine Tochter ist krank. Wir gehen zum Doktor. My daughter is sick. We’re going to the doctor.
das Doppelzimmer	Wollen Sie ein Doppelzimmer oder ein Einzelzimmer? Would you like a double room or a single room?
das Dorf, -ö, er	Meine Familie lebt in einem Dorf. My family lives in a village.
dort, -her, -hin(1)	Deine Tasche kannst du dorthin stellen. You can place your bag over there.
dort, -her, -hin(2)	Dort ist unser Haus. There is our house.
draußen	Wollen wir draußen sitzen? Do we want to sit outside?
drucken	Bitte drucke das Formular für mich. Please print the form for me.
der Drucker	Mein Drucker ist kaputt. My printer is broken.
drücken	Drück hier, dann geht der Computer an. Press here, then the computer will turn on.
durch	Am besten gehen Sie durch die Breite Straße. It’s best to go through Breite Street.
die Durchsage, -n	Ich habe die Durchsage nicht verstanden. I didn’t understand the announcement.
dürfen(1)	Sie dürfen hier nicht rauchen. You’re not allowed to smoke here.
dürfen(2)	Darf ich Sie zu einem Kaffee einladen? May I invite you to a coffee?
dürfen(3)	Es darf nicht mehr als 15 Euro kosten. It must not cost more than 15 euros.
der Durst	Hast du etwas zu trinken? Ich habe großen Durst. Do you have something to drink? I’m very thirsty.
(sich) duschen	Ich bade nicht so gern, ich dusche lieber. I don’t like bathing much; I prefer showering.
die Dusche	Unsere Wohnung hat nur eine Dusche. Our apartment only has a shower.
