german word	german sentence	english translation
ob(1)	Ich weiß noch nicht, ob ich kommen kann.	I don’t know yet if I can come.
oben(1)	Wir wohnen oben im 4. Stock.	We live on the top floor of the 4th floor.
oben(2)	Die Butter liegt im Kühlschrank ganz oben.	The butter is right at the top of the fridge.
oben(3)	Die Wohnung im oberen Stockwerk ist vermietet.	The apartment on the upper floor is rented.
ober-(1)	Ich bin Ober von Beruf.	I am a head waiter by profession.
das/der (Schlag-)Obers (A)(1)	Ich hätte gern ein Stück Torte mit (Schlag-)Obers.	I would like a piece of cake with whipped cream.
das/der (Schlag-)Obers (A)(2)	D: (Schlag-)Sahne; CH: (Schlag-)Rahm	D: whipped cream; CH: cream
das Obst (1)	Obst kaufe ich am liebsten auf dem Markt.	I prefer to buy fruit at the market.
obwohl(1)	Obwohl meine Kollegin krank ist, geht sie arbeiten.	Although my colleague is sick, she is going to work.
oder(1)	Möchten Sie Kaffee oder Tee?	Would you like coffee or tea?
oder(2)	Entweder wir fahren mit dem Bus oder wir gehen zu Fuß.	Either we go by bus or we walk.
der (Back-)Ofen, ¨- (D, CH)(1)	Ich habe gerade eine Pizza gemacht.	I just made a pizza.
der (Back-)Ofen, ¨- (D, CH)(2)	Sie ist ganz frisch aus dem Ofen.	It’s just fresh out of the oven.
öffentlich(1)	In der Stadt fahre ich immer mit öffentlichen Verkehrsmitteln.	In the city, I always use public transportation.
öffentlich(2)	In öffentlichen Gebäuden darf man nicht rauchen.	You are not allowed to smoke in public buildings.
die Öffentlichkeit(1)	Von solchen Dingen erfährt die Öffentlichkeit nur selten.	The public rarely hears about such things.
die Öffentlichkeit(2)	Ich möchte in der Öffentlichkeit nicht streiten.	I do not want to argue in public.
veröffentlichen, veröffentlicht, veröffentlichte, hat veröffentlicht(1)	Das Buch wurde gestern veröffentlicht.	The book was published yesterday.
die Operation, -en(1)	Seit der Operation kann ich mein Knie nicht mehr bewegen.	Since the operation, I can’t move my knee anymore.
das Opfer, -(1)	Bei der Schiffskatastrophe gab es viele Opfer.	There were many victims in the shipwreck.
optimistisch(1)	Glaubst du, dass du den Job bekommst? – Ja, ich bin ganz optimistisch.	Do you think you’ll get the job? – Yes, I’m quite optimistic.
offenbar(1)	Das Restaurant ist heute offenbar geschlossen.	The restaurant is apparently closed today.
offiziell(1)	Sie bekommen von uns eine offizielle Einladung.	You will receive an official invitation from us.
öffnen, öffnet, öffnete, hat geöffnet(1)	Wann öffnen die Geschäfte?	When do the stores open?
öffnen, öffnet, öffnete, hat geöffnet(2)	Kannst du bitte das Fenster öffnen?	Can you please open the window?
öffnen, öffnet, öffnete, hat geöffnet(3)	Kannst Du mir helfen? Ich kann die Dose nicht öffnen.	Can you help me? I can’t open the can.
öffnen, öffnet, öffnete, hat geöffnet(4)	Du öffnest die Datei mit einem Doppelklick.	You open the file with a double-click.
öffnen, öffnet, öffnete, hat geöffnet(5)	Der Laden ist samstags bis 16 Uhr geöffnet.	The store is open until 4 PM on Saturdays.
oft/öfter(1)	Ich treffe mich oft mit meiner Freundin.	I often meet with my girlfriend.
oft/öfter(2)	In letzter Zeit muss ich öfter Überstunden machen.	Lately, I have to work overtime more often.
ohne(1)	Bitte eine Pizza ohne Zwiebeln.	Please make it a pizza without onions.
ohne(2)	Ohne Auto ist es schwer, zur Arbeit zu kommen.	Without a car, it’s hard to get to work.
ohne(3)	Mein Sohn ist einfach mit dem Auto weggefahren, ohne mich zu fragen.	My son just drove away with the car without asking me.
ohne(4)	In diesem Haus kann man nichts machen, ohne dass die Nachbarn darüber reden.	In this house, you can’t do anything without the neighbors talking about it.
das Ohr, -en(1)	Ich habe Ohrenschmerzen.	I have an earache.
das Ohr, -en(2)	Das Baby hat aber kleine Ohren!	The baby has such small ears!
Öko- (ökologisch)(1)	z.B. Ökoladen, Ökostrom, ökologischer Anbau	e.g., eco-store, green electricity, ecological farming
das Öl, -e(1)	Es fehlt Öl am Salat.	The salad is missing oil.
das Öl, -e(2)	Wir heizen mit Öl.	We heat with oil.
das Öl, -e(3)	Können Sie bei meinem Auto bitte das Öl kontrollieren?	Can you check the oil in my car, please?
die Oma, -s(1)	Meine Oma ist achtzig Jahre alt geworden.	My grandma has turned eighty years old.
der Onkel, -(1)	Nächste Woche fahre ich zu meinem Onkel nach Berlin.	Next week I’m going to my uncle’s in Berlin.
der Opa, -s(1)	Mein Opa heißt Hans.	My grandpa is named Hans.
die Oper, -n(1)	Ich mag Opern.	I like operas.
die Oper, -n(2)	Warst du schon mal in der Oper?	Have you ever been to the opera?
operieren, operiert, operierte, hat operiert(1)	Wir müssen das Knie sofort operieren.	We need to operate on the knee immediately.
die Orange, -n(1)	Ich esse gern Orangen.	I like to eat oranges.
das Orchester, -(1)	Auf unserer Hochzeit hat ein kleines Orchester gespielt.	A small orchestra played at our wedding.
ordentlich(1)	Mein Bruder ist ein sehr ordentlicher Mensch.	My brother is a very orderly person.
ordentlich(2)	Auf seinem Schreibtisch sieht es immer sehr ordentlich aus.	His desk always looks very tidy.
die Ordination, -en (A) (1)	Die Ordination bleibt bis zum 7. Jänner geschlossen.	The office will remain closed until January 7th.
die Ordination, -en (A) (2)	Frau Dr. Berger hat von 8 bis 12 Uhr Ordination.	Dr. Berger has office hours from 8 AM to 12 PM.
ordnen, ordnet, ordnete, hat geordnet(1)	Letztes Wochenende habe ich meine Papiere geordnet.	Last weekend, I organized my papers.
