über(1)	Gehen Sie hier über die Straße. Cross the street here.
über(2)	Er wohnt im zweiten Stock über Familie Meier. He lives on the second floor above the Meier family.
über(3)	Sind Sie über 18? Are you over 18?
übernachten	Du kannst bei mir übernachten. You can stay the night at my place.
überweisen	Sie können das Geld auch überweisen. You can also transfer the money.
die Uhr	Es ist vier Uhr. It’s four o'clock.
um(1)	Er kommt um sieben Uhr. He’s coming at seven o'clock.
um(2)	Da kommt er gerade um die Ecke. There he is, just around the corner.
umziehen	Nächsten Monat ziehen wir um. We are moving next month.
und	Peter und Helmut sind meine Söhne. Peter and Helmut are my sons.
unser-	Das ist unsere Lehrerin. This is our teacher.
unten	Er wohnt ganz unten im Haus. He lives at the very bottom of the house.
unter	Unter uns wohnt eine Familie mit drei Kindern. A family with three children lives below us.
der Unterricht	Wir haben Unterricht von 8.00 bis 12.00 Uhr. We have class from 8:00 to 12:00.
unterschreiben	Wo muss ich unterschreiben? Where do I have to sign?
die Unterschrift	Hier fehlt noch Ihre Unterschrift. Your signature is still missing here.
der Urlaub	Ich nehme im September Urlaub. I’m taking a vacation in September.
