der Kaffee	Zum Frühstück trinke ich immer Kaffee. I always drink coffee for breakfast.
kaputt	Das Glas war teuer. Es geht sehr leicht kaputt. The glass was expensive. It breaks very easily.
die Karte, -n(1)	Ich schreibe meinen Bekannten eine Karte aus dem Urlaub. I write my acquaintances a card from the vacation.
die Karte, -n(2)	Wollen wir Karten spielen? Shall we play cards?
die Karte, -n(3)	Ich möchte auch etwas essen. Bringen Sie mir die Karte, bitte. I’d also like something to eat. Please bring me the menu.
(Kredit)-Karte, -n	Kann ich auch mit Karte (be-) zahlen? Can I also pay by card?
die Kartoffel, -n	Für Pommes frites braucht man Kartoffeln. You need potatoes for french fries.
die Kasse	Zahlen Sie bitte an der Kasse. Please pay at the checkout.
kaufen	Tim kauft sich ein neues Auto. Tim is buying a new car.
kein	Es gibt keine Eintrittskarten mehr. There are no more tickets.
kennen	Kennen Sie diese Frau? – Nein, leider nicht. Do you know this woman? – No, unfortunately not.
kennenlernen	Wir sind neu hier. Wir möchten Sie kennenlernen. We are new here. We’d like to get to know you.
das Kind, -er	Wie viele Kinder haben Sie? How many children do you have?
der Kindergarten	Die kleine Laura geht schon in den Kindergarten. Little Laura is already going to kindergarten.
das Kino, -s	Wir sehen heute Abend im Kino einen schönen Film. We’re going to see a nice movie at the cinema tonight.
der Kiosk	Am Kiosk bekommen Sie Getränke, Zigaretten und Zeitungen. At the kiosk, you can get drinks, cigarettes, and newspapers.
klar	Kommst du mit? – Klar! Are you coming along? – Sure!
die Klasse(1)	In unserer Klasse sind fünfundzwanzig Schüler. There are twenty-five students in our class.
die Klasse(2)	Im Zug fahre ich immer 2. Klasse. I always travel in second class on the train.
die Kleidung	Wo finde ich Kleidung? – Jacken im ersten, Jeans im zweiten Stock. Where can I find clothing? – Jackets on the first floor, jeans on the second floor.
klein	Eltville ist eine kleine Stadt am Rhein. Eltville is a small town on the Rhine.
kochen	Herr Georgi kann gut kochen. Mr. Georgi can cook well.
der Koffer	Ist das Ihr Koffer? Is that your suitcase?
der Kollege, -n	Wie heißt die neue Kollegin? What’s the name of the new female colleague?
kommen(1)	Woher kommen Sie? – Aus Frankreich. Where are you from? – From France.
kommen(2)	Kommst du mit ins Schwimmbad? Are you coming to the swimming pool?
können(1)	Ich kann Deutsch und Russisch. I can speak German and Russian.
können(2)	Können Sie mir helfen? Can you help me?
das Konto	Das Geld überweisen wir am ersten März auf Ihr Konto. We will transfer the money to your account on March 1st.
der Kopf	Mein Kopf tut weh! My head hurts!
kosten	Wie viel kostet das? – 10 Euro. How much does it cost? – 10 euros.
krank	Ich kann heute nicht zur Arbeit kommen, ich bin krank und liege im Bett. I can’t come to work today, I’m sick and lying in bed.
kriegen	Ich kriege 15 Euro in der Stunde für meine Arbeit. I get 15 euros an hour for my work.
die Küche	Der neue Herd kommt in die Küche. The new stove is going into the kitchen.
der Kuchen	Ich nehme ein Stück Kuchen. I’ll have a piece of cake.
der Kugelschreiber	Hast du einen Kugelschreiber für mich? Do you have a pen for me?
der Kühlschrank	Haben wir noch Milch? – Ja, im Kühlschrank. Do we still have milk? – Yes, in the fridge.
kulturell	Ich bin kulturell interessiert. Ich gehe oft ins Museum. I’m culturally interested. I often go to the museum.
sich kümmern	Jede Mutter kümmert sich um ihre kleinen Kinder. Every mother takes care of her small children.
der Kunde, -n	Einen Moment, bitte. Ich habe eine Kundin. One moment, please. I have a customer.
der Kurs, -e	Der Deutschkurs geht bis zum Sommer. The German course goes until summer.
kurz	Ricardo hat kurzes Haar. Ricardo has short hair.
