nach(1)	Ich gehe jetzt nach Hause. I’m going home now.
nach(2)	Ich fliege nach München. I’m flying to Munich.
nach(3)	Es ist schon 5 nach 12. It’s already 5 minutes past 12.
nächst-	Sehen wir uns nächste Woche? Shall we see each other next week?
der Name, -n(1)	Mein Name ist Thomas Schmidt. My name is Thomas Schmidt.
der Name, -n(2)	Mein Vorname ist Thomas; Schmidt ist der Familienname. My first name is Thomas; Schmidt is the last name.
nehmen(1)	Heute gibt es Hähnchen. Das nehme ich. Today there’s chicken. I’ll take that.
nehmen(2)	Ich nehme den Bus. I’ll take the bus.
nein	Fährst du auch nach München? – Nein, ich habe keine Zeit. Are you going to Munich too? – No, I don’t have time.
neu(1)	Ich bin der neue Kollege. I’m the new colleague.
neu(2)	Wir haben eine neue Wohnung. We have a new apartment.
nicht(1)	Das stimmt nicht. That’s not true.
nicht(2)	Das ist doch schön, nicht? That’s nice, isn’t it?
nichts(1)	Das macht nichts. It doesn’t matter.
nichts(2)	Hier kaufe ich nichts. Der Laden gefällt mir nicht. I’m not buying anything here. I don’t like the store.
nie	Er kommt nie pünktlich. He never arrives on time.
noch(1)	Vielleicht kommt er noch. Maybe he’ll come after all.
noch(2)	Wir warten noch fünf Minuten. We’ll wait another five minutes.
noch(3)	Ich habe noch 20 Euro. I still have 20 euros.
normal	75 kg. Sein Gewicht ist normal. 75 kg. His weight is normal.
die Nummer, -n(1)	Sie haben Zimmer Nummer zwölf. You have room number twelve.
die Nummer, -n(2)	Welche Hausnummer haben Sie? What is your house number?
die Nummer, -n(3)	Können Sie mir Ihre Nummer geben? Can you give me your number?
nur	Ich möchte nur ein Glas Wasser. I’d like only a glass of water.
