german word	german sentence	english translation
das Radio, -s	Ich höre im Auto gern Radio.	I like to listen to the radio in the car.
raten, rät	Ich weiß nicht, welches Handy ich kaufen soll. Was raten Sie mir?	I don't know which phone to buy. What do you recommend?
raten, rät(2)	Rate mal, wen ich heute gesehen habe! Deinen Lehrer.	Guess who I saw today! Your teacher.
das Rathaus, ¨-er	Das Formular bekommen Sie im Rathaus.	You can get the form at the town hall.
das Rathaus, ¨-er(2)	Sie müssen sich im Rathaus anmelden.	You need to register at the town hall.
das Rätsel, -	Das Rätsel ist schwierig! Ich weiß die Antwort nicht.	The puzzle is difficult! I don't know the answer.
rauchen, raucht	Stört es Sie, wenn ich rauche?	Is it bothering you if I smoke?
rauchen, raucht(2)	Rauchen ist hier verboten!	Smoking is prohibited here.
der Raum, ¨-e	Der Unterricht findet heute in Raum 332 statt.	Class takes place today in room 332.
rechnen, rechnet	Sarah kann gut rechnen.	Sarah can do math well.
rechnen, rechnet(2)	Wir sollen zusammen eine Klassenparty planen.	We should plan a class party together.
die Rechnung, -en	Schicken Sie die Rechnung an mich.	Send the bill to me.
die Rechnung, -en(2)	Bitte, die Rechnung!	Please, the bill!
recht haben	Du hast (nicht) recht.	You are (not) right.
recht haben(2)	Hat er recht gehabt?	Was he right?
rechts	Der Bahnhof ist hier rechts.	The train station is to the right here.
reden, redet	Mit meiner Freundin kann ich über alles reden.	I can talk about everything with my friend.
reden, redet(2)	Rede nicht so viel!	Don't talk so much!
der Regen (Sg.)	Bei Regen gehe ich nicht aus dem Haus.	I don't go out if it rains.
regnen, regnet	Wenn es regnet, bleiben wir zu Hause.	If it rains, we'll stay home.
regnen, regnet(2)	Es hat geregnet.	It rained.
reich	Lotte ist reich. Sie hat sehr viel Geld.	Lotte is rich. She has a lot of money.
der Reifen, -	Ich brauche neue Reifen für mein Auto.	I need new tires for my car.
die Reihe, -n	Ich habe Karten für das Konzert. Wir sitzen in der dritten Reihe.	I have tickets for the concert. We are sitting in the third row.
die Reihe, -n(2)	Wer ist jetzt an der Reihe?	Who is next?
die Reinigung, -en	Bringst du bitte die Bluse in die Reinigung? Man darf sie nicht in der Waschmaschine waschen.	Can you please take the blouse to the dry cleaner? You can't wash it in the washing machine.
der Reis (Sg.)	Ich esse gern Reis mit Gemüse und Fisch.	I like to eat rice with vegetables and fish.
die Reise, -n	Wir machen eine Reise nach Österreich.	We are taking a trip to Austria.
die Reise, -n(2)	Ich mache nächste Woche eine Geschäftsreise.	I have a business trip next week.
das Reisebüro, -s	Wir organisieren eine Rundreise durch Deutschland.	We are organizing a tour through Germany.
das Reisebüro, -s(2)	Wir buchen die Reise im Reisebüro.	We book the trip at the travel agency.
der Reiseführer, -	Ich kaufe mir einen Reiseführer von Berlin.	I am buying a guidebook for Berlin.
der Reiseführer, - (2)	Unser Reiseführer heißt Robert und ist sehr sympathisch.	Our tour guide is named Robert and is very friendly.
reisen, reist	Ich reise gern.	I like to travel.
reisen, reist(2)	Wir sind schon nach Spanien gereist.	We have already traveled to Spain.
reiten, reitet	Möchtest du reiten lernen?	Do you want to learn to ride?
reiten, reitet(2)	Er ist schon geritten.	He has already ridden.
renovieren	Wir renovieren das ganze Haus.	We are renovating the whole house.
renovieren(2)	Das Haus wurde renoviert.	The house was renovated.
der Rentner, - / die Rentnerin, -nen	Mein Onkel arbeitet nicht mehr. Er ist Rentner.	My uncle doesn't work anymore. He is retired.
die Reparatur, -en	Die Reparatur ist sehr teuer.	The repair is very expensive.
reparieren	Er muss den Motor reparieren.	He has to repair the engine.
reparieren(2)	Die Waschmaschine wurde repariert.	The washing machine was repaired.
reservieren	Reservieren Sie bitte ein Doppelzimmer.	Please reserve a double room.
reservieren(2)	Ich möchte gern einen Tisch für fünf Personen reservieren.	I would like to reserve a table for five people.
der Rest, -e	Hier sind 50 Euro. Den Rest gebe ich dir später.	Here are 50 euros. I'll give you the rest later.
der Rest, -e (2)	Es ist noch ein Rest Suppe da. Möchtest du noch?	There's still some soup left. Do you want more?
das Restaurant, -s	Wir essen heute in einem Restaurant.	We are eating in a restaurant today.
das Rezept, -e	Dieser Kuchen schmeckt super! Kannst du mir bitte das Rezept geben?	This cake tastes great! Can you please give me the recipe?
das Rezept, -e (2)	Dieses Medikament gibt es nur auf Rezept.	This medication is only available by prescription.
die Rezeption, -en	Geben Sie bitte den Schlüssel an der Rezeption ab. 	Please return the key at the reception.
richtig	Habe ich das richtig verstanden?	Did I understand that correctly?
richtig (2)	Das ist richtig.	That's correct.
riechen, riecht	Diese Blumen riechen gut.	These flowers smell good.
riechen, riecht (2)	Hier riecht es nach Fisch.	It smells like fish here.
das Rind	Ich esse nur Fleisch vom Rind.	I only eat beef.
der Ring, -e	Ich habe meinen Ring verloren.	I lost my ring.
der Rock, ¨-e	Der Rock ist zu eng.	The skirt is too tight.
romantisch	Dieser Film ist sehr romantisch.	This movie is very romantic.
romantisch (2)	Meine Freundin ist total romantisch.	My girlfriend is very romantic.
die Rose, -n	Er schenkt seiner Freundin rote Rosen zum Geburtstag.	He gives his girlfriend red roses for her birthday.
der Rücken, -	Mein Rücken tut mir weh.	My back hurts.
der Rucksack, ¨-e	Ich nehme lieber einen Rucksack als einen Koffer mit.	I prefer to take a backpack rather than a suitcase.
rufen, ruft	Rufst du bitte die Kinder? Das Essen ist fertig.	Can you call the children? The food is ready.
rufen, ruft (2)	Wir müssen einen Arzt rufen.	We need to call a doctor.
die Ruhe (Sg.)	Ruhe, bitte! Hier in der Bibliothek darf man nicht laut sprechen.	Quiet, please! In the library, you can't speak loudly.
die Ruhe (Sg.) (2)	Meine Großmutter ist krank. Sie braucht viel Ruhe.	My grandmother is sick. She needs a lot of rest.
ruhig	Ich möchte ein ruhiges Zimmer.	I would like a quiet room.
rund	Unser Wohnzimmertisch ist rund.	Our living room table is round.
rund (2)	Bis Berlin sind es noch rund 80 Kilometer.	It's about 80 kilometers to Berlin.
der Rundgang, ¨-e	Der Rundgang durch das Schloss beginnt in wenigen Minuten.	The tour of the castle starts in a few minutes.

