german word	german sentence	english translation
üben, übt	Ich lerne gerade Gitarre spielen. Ich übe jeden Tag zwei Stunden.	I am currently learning to play the guitar. I practice every day for two hours.
üben, übt (2)	Wie lange übst du schon?	How long have you been practicing?
über	Gehen Sie lieber hier über die Straße.	Please cross the street here.
über (2)	Über uns wohnt Familie Schneider.	Family Schneider lives above us.
über (3)	Sind Sie über 18?	Are you over 18?
überall	Ich habe überall gesucht, aber ich kann meine Brille nicht finden.	I searched everywhere, but I can't find my glasses.
übermorgen	Morgen habe ich frei. Ich komme übermorgen wieder ins Büro.	I have the day off tomorrow. I will come back to the office the day after tomorrow.
übernachten, übernachtet	Du kannst bei mir übernachten.	You can spend the night at my place.
übernachten, übernachtet (2)	Ich habe bei Freunden übernachtet.	I stayed overnight with friends.
übersetzen	Können Sie mir den Brief bitte übersetzen?	Can you please translate the letter for me?
übersetzen (2)	Er hat den Text ins Englische übersetzt.	He translated the text into English.
die Übersetzung, -en	Ich brauche eine Übersetzung von meinem Zeugnis.	I need a translation of my certificate.
überweisen, überweist	Sie können das Geld auch überweisen.	You can also transfer the money.
überweisen, überweist (2)	Ich überweise dir das Geld.	I will transfer the money to you.
die Uhr, -en	Es ist vier Uhr.	It is four o'clock.
die Uhr, -en (2)	Geht deine Uhr richtig?	Is your watch working properly?
um	Er kommt um sieben Uhr.	He comes at seven o'clock.
um (2)	Die Apotheke ist gleich um die Ecke.	The pharmacy is just around the corner.
umsteigen, steigt um	Sie müssen in Mannheim umsteigen.	You need to change trains in Mannheim.
umsteigen, steigt um (2)	Wir sind in Köln umgestiegen.	We changed trains in Cologne.
umziehen, zieht um	Nächsten Monat ziehen wir um.	Next month we are moving.
umziehen, zieht um (2)	Er ist in eine neue Wohnung umgezogen.	He has moved to a new apartment.
sich umziehen, zieht sich um	Warte bitte, ich muss mich noch umziehen.	Please wait, I need to change clothes.
sich umziehen, zieht sich um (2)	Er hat sich schnell umgezogen.	He changed clothes quickly.
der Umzug, ¨-e	Der Umzug ist nächste Woche.	The move is next week.
unbedingt	Ich muss unbedingt mit dir sprechen.	I must absolutely talk to you.
und	Ich habe heute und morgen frei.	I am off today and tomorrow.
und (2)	Ich kaufe ein und mein Mann kocht.	I do the shopping and my husband cooks.
der Unfall, ¨-e	Ich hatte gestern einen Unfall.	I had an accident yesterday.
der Unfall, ¨-e (2)	Wie ist der Unfall passiert?	How did the accident happen?
die Universität, -en	Er studiert an der Universität Freiburg.	He studies at the University of Freiburg.
unten	Er wohnt ganz unten im Haus.	He lives at the very bottom of the house.
unter	Unter uns wohnt eine Familie mit drei Kindern.	Below us lives a family with three children.
unterhalten (sich), unterhält	Andreas und Nessrin unterhalten sich.	Andreas and Nessrin are talking.
unterhalten (sich), unterhält (2)	Wir haben uns über das Fußballspiel unterhalten.	We talked about the soccer game.
die Unterkunft, ¨-e	Ich suche noch eine Unterkunft in Basel. Kennst du ein günstiges Hotel?	I am still looking for accommodation in Basel. Do you know a cheap hotel?
unternehmen, unternimmt	Wollen wir heute Abend etwas unternehmen?	Do you want to do something this evening?
unternehmen, unternimmt (2)	Wir haben am Wochenende etwas unternommen.	We did something on the weekend.
der Unterricht (Sg.)	Der Unterricht dauert bis 19 Uhr.	The class lasts until 7 PM.
der Unterschied, -e	Was ist der Unterschied zwischen den beiden Kursen? - Die Kurse sind gleich. Es gibt keinen Unterschied.	What is the difference between the two courses? - The courses are the same. There is no difference.
unterschreiben, unterschreibt	Wo muss ich unterschreiben?	Where do I need to sign?
unterschreiben, unterschreibt (2)	Ich habe den Vertrag unterschrieben.	I signed the contract.
die Unterschrift,-en	Hier fehlt noch Ihre Unterschrift.	Here, your signature is still missing.
untersuchen, untersucht	Der Arzt hat mich untersucht.	The doctor examined me.
untersuchen, untersucht (2)	Der Arzt muss dein Bein untersuchen.	The doctor needs to examine your leg.
unterwegs sein, ist unterwegs	Warte bitte auf mich. Ich bin unterwegs und komme gleich.	Please wait for me. I am on my way and will be there soon.
unterwegs sein, ist unterwegs (2)	Ich war gestern den ganzen Tag unterwegs.	I was out all day yesterday.
der Urlaub, -e	Ich nehme im September Urlaub.	I am taking vacation in September.

